Month_year,Consultation_Type,Case,Under 1 Male,Under 1 Female,1-4 Male,1-4 Female,5-9 Male,5-9 Female,10-14 Male,10-14 Female,15-18 Male,15-18 Female,19-24 Male,19-24 Female,25-29 Male,25-29 Female,30-34 Male,30-34 Female,35-39 Male,35-39 Female,40-44 Male,40-44 Female,45-49 Male,45-49 Female,50-54 Male,50-54 Female,55-59 Male,55-59 Female,60-64 Male,60-64 Female,65-69 Male,65-69 Female,70 Over Male,70 Over Female
2023 - 8,Consultation,FEVER,22,14,57,40,30,32,21,15,4,8,7,2,1,6,2,2,,,1,1,,2,,2,,,,,,,,3
2023 - 8,Consultation,VOMITING,6,10,34,29,11,17,3,5,2,4,2,,1,3,1,,2,,,1,,2,3,,,2,1,,,3,1,3
2023 - 8,Consultation,COUGH AND COLDS,34,13,24,20,12,6,1,5,1,1,3,1,1,2,1,2,,,,1,,,,1,,,1,,,1,1,
2023 - 8,Consultation,ABDOMINAL PAIN,,,8,7,14,4,6,3,4,7,4,13,5,4,5,5,3,3,2,2,1,1,5,3,2,,,1,1,2,3,1
2023 - 8,Consultation,DOB,8,3,9,8,6,2,,4,1,3,2,4,,3,,1,,1,,5,,1,2,2,9,3,6,3,6,2,10,9
2023 - 8,Consultation,EPIGASTRIC PAIN,,,4,2,4,6,4,5,3,6,2,7,1,4,1,3,,4,2,5,4,2,1,2,,2,1,1,,5,2,7
2023 - 8,Consultation,LBM,21,14,24,11,3,4,,,,,2,2,,1,,1,1,1,,,,,,,,2,1,,,,,1
2023 - 8,Consultation,DIZZINESS,,,,,1,,3,1,1,3,1,2,2,4,,3,1,1,1,5,6,4,5,2,3,6,4,9,,2,1,3
2023 - 8,Consultation,FALL,,4,12,7,6,1,6,3,2,3,2,2,1,,2,1,1,1,,1,1,1,2,1,,,,2,,,2,5
2023 - 8,Consultation,LACERATED WOUND,,,7,4,9,4,4,3,3,,5,2,2,,1,,3,,2,,2,,3,,1,,,,3,1,2,
2023 - 8,Diagnosis,ACUTE GASTROENTERITIS,23,19,37,20,4,5,1,3,1,,1,3,2,5,2,2,2,1,1,,2,1,2,2,,7,1,2,1,,2,4
2023 - 8,Diagnosis,UTI,5,3,7,8,8,11,3,4,4,11,2,11,1,6,2,1,2,3,,1,1,4,1,1,,2,2,4,1,2,1,2
2023 - 8,Diagnosis,PCAP,27,11,36,19,10,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,1
2023 - 8,Diagnosis,LACERATED WOUND ,,,11,7,10,3,6,3,2,,5,2,2,,2,,4,,3,,3,,3,,1,,,,2,1,1,
2023 - 8,Diagnosis,ACUTE GASTRITIS,4,1,14,11,6,6,2,3,1,1,1,4,4,2,,1,1,1,,1,,,3,,,,,,,1,,1
2023 - 8,Diagnosis,DENGUE FEVER,,,2,,8,6,5,8,2,6,2,2,1,1,3,,,,,,,,,,,,,,,,,
2023 - 8,Diagnosis,ACS,1,,,,,,,,1,,,,1,,1,1,1,1,1,2,4,,1,4,1,2,4,,5,,3,7
2023 - 8,Diagnosis,ACID PEPTIC DISEASE,,,1,,,1,3,2,,2,1,5,,1,1,1,,1,,2,2,1,1,1,,,,,1,3,2,
2023 - 8,Diagnosis,SVI,2,1,9,6,1,1,,1,,2,1,2,,,,,1,1,,,,,,,,,,,,,,1
2023 - 8,Diagnosis,BAIAE,,,2,2,3,1,3,1,,2,,,,1,2,,,1,1,1,,,,,,,,3,,1,,2
2023 - 8,Mortality,SEPTIC SHOCK,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,1,1
2023 - 8,Mortality,ACUTE RESPIRATORY FAILURE,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,2,
2023 - 8,Mortality,OUT OF HOSPITAL CARDIAC ARREST,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,
2023 - 8,Mortality,UNDETERMINED CAUSE OF DEATH,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2023 - 8,Mortality,CARDIOGENIC SHOCK; T/C ACS NSTEMI; T/C PULMONARY CONGESTION VS CAP-MR COVID PROBABLE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2023 - 8,Mortality,"UREMIC SYNDROME SECONDARY TO CKD ST. 5 SECONDARY TO HPNNS, SEVERE ANEMIA, HCVD, CAD, COVID SUSPECT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2023 - 8,Mortality,"CARDIAC DYSRHYTHMIA, HYPOKALEMIA, RENAL TUBULAR ACIDOSIS, AGE, NON COVID",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2023 - 8,Mortality,HYPOVOLEMIC SHOCK SEC TO MASSIVE UPPER GASTROINTESTINAL BLEEDING; DEAD ON ARRIVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2023 - 8,Mortality,ASPHYXIA SECONDARY TO HANGING,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2023 - 8,Mortality,MASSIVE INTRACRANIAL HEMORRHAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2023 - 8,Mortality,,1,,,,,,1,,1,,,,1,,1,1,1,,,1,1,,1,,,,,2,3,,5,2
